"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"57",57,"Calistoga","5,338","11",1,"2",NA,"1","7","81","10","64","7","1"
"58",58,"Camarillo","67,325","114",2,"16",NA,"30","66","1,116","217","840","59","17"
"59",59,"Campbell","41,544","88",1,"11",NA,"30","46","1,393","247","1,004","142","14"
"60",60,"Canyon Lake","11,112","7",0,"0",NA,"1","6","93","18","59","16","0"
"61",61,"Capitola","10,201","28",0,"2",NA,"12","14","658","41","585","32","1"
"62",62,"Carlsbad","113,972","172",0,"33",NA,"38","101","2,134","366","1,627","141","8"
"63",63,"Carmel","3,913","10",0,"2",NA,"0","8","114","28","79","7","0"
"64",64,"Carpinteria","13,829","11",0,"0",NA,"2","9","206","45","147","14","3"
"65",65,"Carson","93,677","433",7,"14",NA,"115","297","2,146","469","1,282","395","10"
"66",66,"Cathedral City","53,947","117",3,"13",NA,"49","52","1,152","327","505","320","4"
"67",67,"Central Marin","35,272","40",0,"8",NA,"10","22","757","282","417","58","0"
"68",68,"Ceres","47,693","122",0,"10",NA,"55","57","1,606","232","920","454","4"
"69",69,"Cerritos","50,238","91",0,"7",NA,"46","38","1,899","354","1,324","221","1"
"70",70,"Chico3","89,949","317",2,"59",NA,"87","169","3,634","642","2,591","401","191"
"71",71,"Chino","86,344","221",0,"21",NA,"53","147","2,138","375","1,501","262","9"
"72",72,"Chino Hills","77,515","70",0,"7",NA,"23","40","1,073","216","761","96","1"
"73",73,"Chowchilla","18,978","74",0,"2",NA,"4","68","329","91","197","41","7"
"74",74,"Chula Vista","265,215","705",6,"63",NA,"239","397","4,619","710","3,093","816","27"
"75",75,"Citrus Heights","86,853","385",4,"36",NA,"113","232","2,586","375","1,942","269","6"
"76",76,"City of Angels3","3,738","17",0,"1",NA,"1","15","57","9","37","11","0"
"77",77,"Claremont3","36,331","64",1,"12",NA,"15","36","985","249","674","62","1"
"78",78,"Clayton","11,879","11",0,"0",NA,"2","9","150","26","105","19","1"
