"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"83","Coalinga","17,506","42",0,"5","5","32","455","126","282","47","6"
"84","Colma","1,407","10",0,"1","4","5","359","9","321","29","0"
"85","Colton","51,812","344",5,"13","132","194","1,743","477","847","419","9"
"86","Colusa","5,878","18",0,"1","2","15","208","56","131","21","0"
"87","Commerce","13,576","117",6,"5","56","50","1,159","153","606","400","12"
"88","Compton","96,520","1,672",39,"50","534","1,049","2,411","578","931","902","99"
"89","Concord","124,362","520",2,"20","248","250","5,386","941","3,258","1,187","4"
"90","Corcoran","22,658","58",0,"7","3","48","224","98","94","32","8"
"91","Corning","7,204","60",0,"3","6","51","339","82","228","29","19"
"92","Corona","150,732","328",1,"31","152","144","4,042","730","2,492","820","30"
"93","Coronado","26,662","23",0,"3","9","11","516","67","379","70","1"
"94","Costa Mesa","110,819","306",6,"30","123","147","3,380","524","2,449","407","11"
"95","Cotati","7,202","56",0,"1","4","51","148","50","83","15","3"
"96","Covina","48,281","171",0,"5","68","98","1,800","412","1,190","198","26"
"97","Crescent City","7,895","40",0,"6","11","23","359","86","232","41","1"
"98","Cudahy","25,229","111",3,"3","41","64","350","44","132","174","0"
"99","Culver City","39,960","206",1,"10","164","31","1,153","176","798","179","1"
"100","Cupertino","52,641","109",0,"0","23","86","1,094","338","710","46","14"
"101","Cypress","47,810","67",2,"1","32","32","919","183","596","140","20"
"102","Daly City","101,243","289",3,"18","134","134","2,344","243","1,587","514","23"
"103","Dana Point","36,190","48",0,"2","11","35","462","72","350","40","6"
"104","Danville","42,229","33",1,"5","12","15","595","105","458","32","2"
"105","Davis","61,256","209",0,"21","45","143","1,842","565","1,098","179","29"
"106","Delano","45,941","337",5,"11","72","249","2,577","950","832","795","77"
"107","Del Mar","4,417","26",0,"1","7","18","274","54","190","30","0"
"108","Del Rey Oaks","1,598","0",0,"0","0","0","24","11","8","5","0"
"109","Desert Hot Springs","20,677","297",3,"20","74","200","1,778","743","660","375","0"
"110","Diamond Bar","58,497","108",1,"4","49","54","1,023","311","591","121","4"
"111","Dinuba","19,482","220",4,"2","26","188","1,164","278","670","216","8"
"112","Dixon","17,486","68",0,"8","12","48","602","104","423","75","13"
"113","Dorris","883","4",0,"1","0","3","19","5","13","1","1"
"114","Dos Palos","5,081","44",0,"3","4","37","168","51","100","17","1"
"115","Downey","110,706","451",4,"21","249","177","3,616","575","1,897","1,144","4"
"116","Duarte","22,394","123",1,"5","44","73","508","95","320","93","2"
