"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"267","Morgan Hill","39,907","63",1,NA,11,"10","41","676","162","416","98","2"
"268","Morro Bay","10,412","31",0,NA,3,"1","27","171","57","105","9","1"
"269","Mountain View","77,399","157",0,NA,13,"32","112","1,706","294","1,277","135","4"
"270","Mount Shasta","3,309","5",0,NA,0,"2","3","69","14","48","7","0"
"271","Murrieta","107,768","70",1,NA,10,"21","38","1,640","285","1,149","206","8"
"272","Napa","78,761","255",2,NA,26,"47","180","1,409","304","975","130","16"
"273","National City","59,637","314",1,NA,11,"137","165","1,890","286","1,189","415","7"
"274","Needles","4,932","15",1,NA,1,"5","8","208","88","88","32","1"
"275","Nevada City","3,039","26",0,NA,3,"1","22","129","36","78","15","0"
"276","Newark","43,950","123",1,NA,9,"40","73","1,062","231","658","173","2"
"277","Newman","10,691","36",0,NA,0,"4","32","198","38","124","36","2"
"278","Newport Beach","87,639","73",2,NA,7,"13","51","2,158","454","1,600","104","11"
"279","Norco","27,497","42",1,NA,2,"7","32","594","149","367","78","3"
"280","Norwalk","106,518","407",6,NA,16,"150","235","2,246","420","1,262","564","10"
"281","Novato","53,735","107",0,NA,5,"30","72","836","215","496","125","20"
"282","Oakdale","21,340","50",0,NA,9,"14","27","826","239","503","84","2"
"283","Oakland","403,887","7,984",90,NA,180,"4,922","2,792","25,176","5,058","13,285","6,833","140"
"284","Oakley","37,824","70",0,NA,4,"19","47","497","137","266","94","3"
"285","Oceanside","172,525","634",9,NA,41,"182","402","4,494","677","3,417","400","24"
"286","Ojai","7,585","14",0,NA,4,"3","7","103","15","80","8","2"
"287","Ontario","168,144","453",9,NA,31,"167","246","4,507","830","2,586","1,091","28"
"288","Orange","140,304","147",4,NA,8,"64","71","2,418","473","1,673","272","15"
"289","Orange Cove","9,750","212",0,NA,15,"8","189","880","272","483","125","0"
"290","Orinda","18,520","10",0,NA,0,"0","10","214","103","103","8","0"
"291","Orland","7,420","27",0,NA,3,"5","19","175","52","107","16","3"
"292","Oroville","15,581","78",2,NA,10,"26","40","1,011","258","593","160","10"
"293","Oxnard","202,594","651",15,NA,10,"328","298","5,074","974","3,436","664","36"
"294","Pacifica","38,494","66",0,NA,8,"7","51","546","114","361","71","3"
"295","Pacific Grove","15,518","22",0,NA,2,"7","13","308","84","207","17","5"
"296","Palmdale","156,522","759",10,NA,27,"257","465","3,344","1,049","1,928","367","28"
"297","Palm Desert","50,456","110",2,NA,7,"30","71","2,215","572","1,511","132","4"
"298","Palm Springs","46,282","255",0,NA,19,"99","137","2,350","712","1,342","296","9"
"299","Palo Alto","66,964","54",0,NA,4,"29","21","1,483","242","1,174","67","10"
"300","Palos Verdes Estates","13,658","6",0,NA,1,"0","5","147","54","89","4","2"
"301","Paradise","26,222","68",1,NA,11,"7","49","530","214","242","74","0"
"302","Paramount","54,868","222",3,NA,8,"122","89","1,633","266","863","504","7"
"303","Parlier","14,856","91",2,NA,6,"18","65","375","111","156","108","15"
"304","Pasadena","139,003","434",3,NA,25,"162","244","3,779","939","2,553","287","27"
"305","Paso Robles","30,795","103",2,NA,8,"6","87","848","211","595","42","4"
"306","Patterson","20,733","41",1,NA,2,"26","12","631","206","327","98","3"
"307","Perris","72,171","241",6,NA,1,"102","132","2,038","489","1,067","482","3"
"308","Petaluma","59,224","179",0,NA,17,"31","131","1,013","159","778","76","12"
"309","Pico Rivera","63,710","207",3,NA,7,"65","132","1,521","262","924","335","11"
"310","Piedmont","10,963","20",0,NA,0,"13","7","292","116","126","50","2"
"311","Pinole","18,848","69",2,NA,9,"30","28","685","128","475","82","2"
"312","Pismo Beach","7,824","22",0,NA,5,"3","14","317","146","159","12","0"
"313","Pittsburg","66,387","185",4,NA,2,"111","68","2,022","567","826","629","5"
"314","Placentia","52,002","66",2,NA,6,"16","42","784","173","531","80","1"
"315","Placerville","10,339","63",0,NA,3,"7","53","294","92","172","30","0"
"316","Pleasant Hill","34,044","55",0,NA,1,"40","14","1,469","206","1,110","153","3"
"317","Pleasanton","72,975","60",0,NA,3,"29","28","1,281","185","979","117","10"
"318","Pomona","151,366","809",29,NA,31,"295","454","4,394","847","2,591","956","17"
"319","Porterville","55,267","194",8,NA,8,"44","134","1,506","472","801","233","5"
"320","Port Hueneme","21,910","57",1,NA,4,"11","41","405","112","251","42","1"
"321","Poway","49,444","90",0,NA,8,"16","66","575","170","360","45","2"
"322","Rancho Cordova","67,634","352",5,NA,11,"101","235","2,202","478","1,499","225","2"
"323","Rancho Cucamonga","172,262","331",1,NA,14,"128","188","3,824","1,374","1,972","478","17"
"324","Rancho Mirage","17,816","26",0,NA,1,"8","17","636","156","443","37","0"
"325","Rancho Palos Verdes","42,542","30",0,NA,1,"7","22","580","175","369","36","0"
"326","Rancho Santa Margarita","49,190","17",0,NA,3,"6","8","290","77","200","13","1"
"327","Red Bluff","14,170","146",3,NA,9,"19","115","938","291","570","77","3"
"328","Redding","91,035","585",2,NA,49,"146","388","3,774","742","2,483","549","5"
"329","Redlands","70,282","215",2,NA,15,"84","114","3,020","605","2,047","368","21"
"330","Redondo Beach","67,993","160",1,NA,4,"43","112","1,588","309","1,146","133","1"
"331","Redwood City","79,707","190",1,NA,26,"66","97","1,871","507","1,138","226","13"
"332","Reedley","25,018","157",0,NA,7,"25","125","529","173","244","112","1"
"333","Rialto","102,520","434",4,NA,19,"192","219","2,717","798","1,148","771","20"
"334","Richmond","107,341","1,112",16,NA,35,"407","654","4,826","1,631","1,685","1,510","23"
"335","Ridgecrest","28,537","154",4,NA,9,"24","117","570","212","313","45","11"
"336","Rio Dell","3,368","11",0,NA,0,"0","11","46","21","22","3","0"
