NameCity,Population,Violent,Murder,Robbery,Burglary,Arson,Years,Rape,Assault,PropertyCrime,Theft
Paso Robles,27066,110,0,11,194,6,2005,14,85,667,388
Patterson,14891,33,2,6,117,1,2005,3,22,511,306
Perris,46097,229,4,80,368,4,2005,12,133,2104,1137
Petaluma,55727,215,0,24,128,15,2005,34,157,1300,1036
Pico Rivera,65631,373,15,117,264,25,2005,17,224,1535,773
Piedmont,10784,11,0,10,67,4,2005,0,1,306,178
Pinole,19400,127,2,52,200,7,2005,3,70,1294,797
Pismo Beach,8529,33,0,5,90,1,2005,3,25,379,272
Pittsburg,63016,248,5,114,458,5,2005,7,122,2604,1516
Placentia,50281,124,3,30,231,45,2005,8,83,1043,668
Placerville,10218,26,1,4,80,1,2005,2,19,362,212
Pleasant Hill,33752,127,1,47,334,13,2005,10,69,1874,1304
Pleasanton,66389,96,0,24,260,11,2005,10,62,1555,1152
Pomona,156480,1235,21,385,997,25,2005,44,785,5308,2775
Porterville,44303,257,2,48,506,1,2005,18,189,2287,1351
Port Hueneme,22187,96,4,20,122,2,2005,3,69,477,283
Poway,49302,95,1,20,172,7,2005,11,63,815,551
Rancho Cucamonga,160404,372,2,134,768,30,2005,35,201,4393,2921
Rancho Mirage,16338,42,1,4,253,2,2005,0,37,1051,688
Rancho Palos Verdes,42591,45,2,4,116,5,2005,3,36,387,247
Rancho Santa Margarita,50336,32,0,7,80,7,2005,0,25,453,342
Red Bluff,14003,170,1,14,215,5,2005,10,145,862,587
Redding,89161,550,2,75,943,23,2005,80,393,4102,2665
Redlands,70145,310,1,92,553,24,2005,19,198,2799,1799
Redondo Beach,67126,178,0,68,319,0,2005,9,101,1599,1080
Redwood City,73833,388,3,103,354,29,2005,22,260,2553,1831
Reedley,22412,164,2,21,132,7,2005,9,132,664,351
Rialto,100321,804,11,214,715,23,2005,33,546,3490,1602
Richmond,102997,1174,40,526,1062,46,2005,35,573,5808,2350
Ridgecrest,26026,101,0,14,217,13,2005,6,81,696,414
Rio Dell,3178,18,0,0,16,0,2005,2,16,73,50
Rio Vista,6600,3,0,2,19,0,2005,0,1,125,77
Ripon,13066,23,0,6,34,2,2005,3,14,411,286
Riverbank,20341,47,0,13,133,14,2005,0,34,810,539
Riverside,290299,1954,10,675,2498,208,2005,113,1156,13425,8157
Rocklin,48960,70,0,15,254,16,2005,6,49,1304,900
Rohnert Park,42245,277,0,21,156,5,2005,12,244,1045,811
Rolling Hills,1944,1,0,0,3,0,2005,0,1,14,11
Rolling Hills Estates,8043,16,0,4,31,1,2005,1,11,130,91
Rosemead,55663,195,3,75,403,8,2005,8,109,1540,662
Roseville,104297,363,0,87,852,8,2005,28,248,4750,3188
Ross,2309,0,0,0,9,0,2005,0,0,49,38
Sacramento,457347,5265,52,2018,5841,352,2005,170,3025,26083,13320
Salinas,149167,1030,7,335,935,35,2005,43,645,6778,4339
San Anselmo,12190,33,0,2,59,3,2005,3,28,273,201
San Bernardino,199723,2510,58,912,2525,87,2005,72,1468,11226,5527
San Bruno,39924,141,1,33,127,8,2005,8,99,947,654
San Carlos,27094,31,0,10,105,7,2005,3,18,580,419
San Clemente,59945,80,1,15,200,10,2005,5,59,853,579
Sand City,309,8,0,3,2,0,2005,0,5,145,141
San Diego,1272148,6603,51,1862,7462,233,2005,376,4314,46213,24613
San Dimas,36306,74,1,23,202,3,2005,3,47,880,552
San Fernando,24517,123,0,54,139,8,2005,8,61,517,252
San Francisco,749172,5985,96,3078,6208,188,2005,172,2639,34269,19887
San Gabriel,41534,202,4,99,327,5,2005,9,90,1089,584
Sanger,21180,102,0,16,167,2,2005,9,77,912,585
San Jacinto,28229,132,4,40,329,0,2005,8,80,1222,654
San Jose,910528,3492,26,884,4049,388,2005,263,2319,22930,13374
San Juan Capistrano,35114,59,0,21,105,9,2005,2,36,465,303
San Leandro,79709,465,4,237,701,18,2005,23,201,4069,2328
San Luis Obispo,44324,170,2,35,361,38,2005,23,110,1793,1335
San Marcos,68801,237,0,57,359,10,2005,15,165,1630,989
San Marino,13360,9,0,7,66,0,2005,0,2,263,181
San Mateo,91881,403,4,117,355,24,2005,22,260,2780,2205
San Pablo,31247,269,3,160,316,6,2005,5,101,1831,874
San Rafael,55929,172,2,65,427,12,2005,22,83,2052,1247
San Ramon,45919,66,1,14,146,4,2005,5,46,972,733
Santa Ana,344991,1845,17,644,1194,156,2005,74,1110,10292,5515
Santa Barbara,87950,560,0,76,680,43,2005,31,453,2944,2060
Santa Clara,104692,190,5,49,553,10,2005,18,118,3420,2470
Santa Clarita,165894,336,3,106,838,27,2005,17,210,3552,2200
Santa Cruz,54573,503,2,96,573,25,2005,49,356,3137,2316
Santa Fe Springs,17173,174,1,77,300,4,2005,3,93,1709,1005
Santa Maria,84312,601,3,92,383,19,2005,36,470,2354,1342
Santa Monica,88406,551,4,241,788,16,2005,21,285,3496,2286
Santa Paula,28923,100,0,29,140,1,2005,8,63,641,407
Santa Rosa,154656,1021,2,168,803,26,2005,61,790,4900,3508
Santee,52926,163,1,30,281,9,2005,16,116,1316,800
Saratoga,29830,21,1,2,115,1,2005,3,15,377,249
Sausalito,7276,8,0,3,44,1,2005,1,4,209,147
Scotts Valley,11279,16,1,2,79,1,2005,2,11,351,257
Seal Beach,24621,49,0,9,105,3,2005,1,39,497,340
Seaside,34357,171,0,42,129,9,2005,10,119,738,545
Sebastopol,7736,19,0,4,41,4,2005,1,14,187,130
Selma,22065,103,0,35,176,1,2005,4,64,1396,938
Shafter,14249,53,1,5,193,12,2005,6,41,688,413
Sierra Madre,11096,5,0,0,64,0,2005,1,4,210,134
Signal Hill,10769,57,0,30,121,7,2005,4,23,583,360
Simi Valley,119682,172,0,47,583,22,2005,17,108,2315,1515
Solana Beach,12945,24,0,12,87,1,2005,1,11,312,179
Soledad,26500,33,1,21,206,0,2005,5,6,497,251
Solvang,5260,12,0,6,23,3,2005,5,1,96,73
Sonoma,9744,31,0,2,132,12,2005,1,28,387,238
Sonora,4649,22,0,6,151,3,2005,2,14,496,312
South El Monte,21946,130,3,41,147,5,2005,5,81,750,313
South Gate,100289,527,6,305,444,18,2005,19,197,2897,1164
South Lake Tahoe,24085,131,1,21,189,1,2005,8,101,553,301
South Pasadena,25214,42,0,28,148,3,2005,1,13,655,409
South San Francisco,60295,175,3,46,609,25,2005,8,118,1541,640
Stallion Springs,1624,0,0,0,16,0,2005,0,0,43,26
Stanton,38175,149,3,63,201,15,2005,6,77,937,526
St. Helena,6066,5,0,0,39,0,2005,1,4,129,81
Stockton,281747,4202,41,1357,3434,60,2005,109,2695,18861,11487
Suisun City,27124,127,0,39,124,5,2005,13,75,576,304
Sunnyvale,128862,232,3,73,495,16,2005,27,129,2661,1794
Susanville,18163,45,0,1,76,6,2005,5,39,295,208
Sutter Creek,2443,12,0,2,31,3,2005,3,7,93,58
Taft,9136,34,0,6,61,18,2005,2,26,275,198
Temecula,82628,269,4,73,684,4,2005,16,176,2808,1725
Temple City,37156,76,0,31,181,2,2005,3,42,557,296
Thousand Oaks,125884,174,2,56,379,18,2005,13,103,1784,1289
Tiburon,8749,5,0,0,21,4,2005,1,4,100,70
Torrance,143790,320,1,211,641,24,2005,20,88,3290,2144
Tracy,77411,149,0,60,473,20,2005,7,82,3301,2366
Trinidad,312,0,0,0,10,1,2005,0,0,46,33
Truckee,15554,26,0,4,99,2,2005,4,18,352,207
Tulare,49020,497,8,85,904,60,2005,17,387,3187,1809
Tulelake,1015,2,0,0,6,0,2005,0,2,17,11
Turlock,65919,411,2,97,637,22,2005,18,294,3705,2014
Tustin,69068,228,2,60,438,14,2005,10,156,1926,1146
Twentynine Palms,30281,105,0,5,194,8,2005,11,89,530,270
Twin Cities,21113,13,0,6,222,3,2005,3,4,672,385
Ukiah,15683,74,0,11,189,10,2005,5,58,542,291
Union City,69396,416,3,167,603,11,2005,15,231,2507,1325
Upland,74014,282,4,104,466,11,2005,21,153,3025,2107
Vacaville,94929,262,2,69,353,33,2005,23,168,2518,1899
Ventura,104759,297,1,107,815,18,2005,19,170,3911,2695
Vernon,94,48,0,28,52,9,2005,0,20,544,260
Victorville,83340,435,12,153,865,10,2005,30,240,4229,2536
Villa Park,6109,4,0,0,25,0,2005,0,4,118,87
Visalia,105350,1055,10,192,1216,31,2005,39,814,6765,4347
