"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Foster City","31,230","18","0","0","3","15","345","83","239","23","1"
"Fountain Valley","56,674","106","1","7","17","81","1,469","299","1,063","107","4"
"Fowler","5,698","48","0","0","0","48","213","44","135","34","4"
"Fremont","218,927","306","2","14","132","158","4,259","1,176","2,502","581","16"
"Fresno","506,011","2,748","51","54","1,015","1,628","25,737","5,902","15,534","4,301","134"
"Fullerton","138,455","452","0","31","137","284","3,937","742","2,872","323","12"
"Galt","24,163","59","1","2","7","49","470","148","267","55","11"
"Gardena","59,802","287","0","13","167","107","1,321","297","716","308","7"
"Garden Grove","175,079","439","1","16","135","287","4,017","761","2,655","601","21"
"Gilroy","50,042","159","3","7","68","81","1,788","339","1,217","232","7"
"Glendale","194,902","233","0","6","108","119","3,043","516","2,218","309","13"
"Glendora","50,903","59","0","8","27","24","1,293","202","1,018","73","7"
"Goleta","30,384","50","0","4","8","38","523","129","368","26","0"
"Gonzales","8,404","36","0","1","15","20","102","40","51","11","0"
"Grand Terrace","12,333","29","1","1","8","19","285","105","138","42","0"
"Grass Valley","12,959","65","0","5","8","52","639","136","452","51","9"
"Greenfield","16,765","120","5","1","32","82","306","102","165","39","4"
"Gridley","6,654","78","1","4","3","70","220","66","128","26","3"
"Grover Beach","13,398","32","0","3","5","24","306","91","192","23","4"
"Guadalupe","7,198","10","0","1","1","8","57","12","36","9","2"
"Gustine","5,663","24","0","1","2","21","120","39","65","16","3"
"Hanford","54,787","309","2","24","59","224","1,711","337","1,176","198","12"
"Hawaiian Gardens","14,493","69","1","2","21","45","193","41","100","52","1"
"Hawthorne","85,692","637","7","26","307","297","2,181","575","1,138","468","9"
"Hayward","147,424","613","6","46","342","219","4,792","1,109","2,227","1,456","34"
"Healdsburg","11,458","18","0","1","3","14","271","69","189","13","0"
"Hemet","81,213","406","1","21","146","238","3,486","1,052","1,955","479","4"
"Hercules","24,682","43","1","1","17","24","298","98","144","56","2"
"Hermosa Beach","19,830","54","0","9","18","27","678","138","494","46","0"
"Hesperia","92,383","402","6","17","69","310","2,502","917","1,185","400","16"
"Hidden Hills","1,887","0","0","0","0","0","4","1","3","0","0"
"Highland","54,403","296","4","5","92","195","1,616","629","689","298","10"
"Hillsborough","11,060","1","0","0","1","0","86","31","54","1","1"
"Hollister","35,766","162","1","12","26","123","724","281","379","64","12"
"Holtville","6,088","11","0","0","3","8","98","31","59","8","1"
"Hughson","6,754","10","0","0","2","8","144","58","73","13","1"
"Huntington Beach","194,677","313","3","31","83","196","5,470","797","4,352","321","39"
"Huntington Park","59,079","373","4","9","243","117","1,917","241","1,018","658","17"
"Huron","6,901","69","1","2","29","37","301","105","152","44","8"
"Imperial","15,126","7","0","0","2","5","73","17","50","6","0"
"Imperial Beach","26,956","147","2","12","25","108","471","122","261","88","0"
"Indian Wells","5,120","2","0","0","1","1","203","58","141","4","0"
"Indio","78,501","450","2","22","153","273","2,791","836","1,466","489","7"
"Industry","222","68","0","1","34","33","1,110","111","785","214","2"
"Inglewood","111,488","780","14","27","373","366","2,673","646","1,389","638","24"
"Ione","7,977","10","0","1","0","9","109","22","83","4","0"
"Irvine","217,528","110","2","8","29","71","3,304","570","2,599","135","22"
"Irwindale","1,447","15","0","0","5","10","243","50","152","41","1"
"Jackson","4,677","38","0","0","4","34","136","41","85","10","1"
"Jurupa Valley","97,577","312","1","12","93","206","3,174","731","1,779","664","9"
"Kensington","5,185","4","1","0","3","0","85","30","45","10","2"
"Kerman","13,854","42","0","3","16","23","608","126","353","129","3"
"King City","13,214","54","3","4","8","39","332","183","108","41","2"
"Kingsburg","11,644","38","1","6","6","25","432","111","230","91","2"
"La Canada Flintridge","20,584","12","0","1","4","7","324","129","179","16","2"
"Lafayette","24,510","21","0","2","7","12","419","101","292","26","0"
"Laguna Beach","23,283","57","1","6","7","43","548","123","399","26","4"
"Laguna Hills","31,090","29","1","4","12","12","620","85","502","33","1"
"Laguna Niguel","64,533","47","0","6","16","25","764","188","541","35","2"
"Laguna Woods","16,590","4","0","0","2","2","148","20","121","7","0"
"La Habra","61,731","147","2","7","45","93","1,150","255","789","106","3"
"La Habra Heights","5,413","6","0","0","0","6","44","24","18","2","3"
"Lake Elsinore","53,912","130","2","3","57","68","1,932","537","1,141","254","3"
"Lake Forest","79,166","107","0","8","20","79","1,088","227","798","63","4"
"Lakeport","4,772","16","0","1","3","12","324","63","251","10","0"
"Lake Shastina","2,460","0","0","0","0","0","0","0","0","0","0"
"Lakewood","81,382","227","1","13","102","111","2,062","371","1,381","310","6"
"La Mesa","58,444","224","2","11","88","123","1,732","351","1,180","201","9"
"La Mirada","49,312","98","2","4","20","72","776","170","503","103","4"
"Lancaster","159,155","859","8","54","313","484","3,498","1,043","2,051","404","64"
"La Palma","15,954","18","0","1","7","10","340","85","227","28","1"
"La Puente","40,479","121","3","6","42","70","521","110","253","158","4"
"La Quinta","38,690","150","0","5","45","100","1,669","541","1,033","95","1"
"La Verne","31,575","50","0","8","15","27","823","142","637","44","3"
"Lawndale","33,312","167","2","4","51","110","397","135","164","98","3"
"Lemon Grove","25,932","137","1","11","48","77","434","85","248","101","2"
"Lemoore","24,904","131","0","9","18","104","698","127","494","77","11"
"Lincoln","44,378","14","0","1","5","8","506","203","253","50","0"
"Lindsay","12,068","49","0","1","12","36","321","84","182","55","5"
