"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson1"
"57",57,"Calimesa","7,528","8",1,"0","5","2","204","57","120","27","0"
"58",58,"Calipatria","7,743","0",0,"0","0","0","16","8","4","4","0"
"59",59,"Calistoga","5,217","23",0,"1","5","17","128","21","101","6","0"
"60",60,"Camarillo","63,238","94",0,"8","22","64","1,062","205","794","63","9"
"61",61,"Campbell","37,429","101",1,"8","30","62","1,514","232","1,058","224","23"
"62",62,"Canyon Lake","11,544","23",0,"1","3","19","170","56","82","32","0"
"63",63,"Capitola","9,432","85",0,"9","13","63","811","104","680","27","5"
"64",64,"Carlsbad","95,056","318",2,"13","88","215","2,448","528","1,684","236","10"
"65",65,"Carmel","3,905","9",0,"0","3","6","158","25","122","11","0"
"66",66,"Carpinteria","13,392","28",0,"4","7","17","227","52","165","10","2"
"67",67,"Carson","94,359","684",16,"10","220","438","2,605","429","1,593","583","37"
"68",68,"Cathedral City","53,953","204",4,"18","49","133","1,787","501","906","380","1"
"69",69,"Ceres","43,427","192",3,"7","61","121","2,055","374","1,190","491",""
"70",70,"Cerritos","52,462","138",0,"4","78","56","1,880","333","1,242","305","13"
"71",71,"Chico","74,288","385",3,"59","107","216","2,454","729","1,450","275","58"
"72",72,"Chino","80,699","232",0,"7","106","119","2,500","594","1,568","338","14"
"73",73,"Chino Hills","76,484","74",1,"3","25","45","1,111","279","706","126","8"
"74",74,"Chowchilla","18,772","21",2,"4","3","12","324","112","194","18","3"
"75",75,"Chula Vista","218,718","921",8,"57","396","460","7,279","1,093","3,790","2,396","28"
"76",76,"City of Angels","3,949","20",0,"1","1","18","74","25","45","4","3"
"77",77,"Claremont","35,250","87",0,"11","41","35","975","269","639","67","9"
"78",78,"Clayton","11,252","9",0,"0","6","3","165","37","120","8","0"
"79",79,"Clearlake","15,133","67",2,"9","7","49","654","211","345","98","7"
"80",80,"Cloverdale","8,319","28",0,"1","5","22","179","28","135","16","1"
"81",81,"Clovis","92,592","133",0,"23","48","62","2,843","578","1,964","301","16"
"82",82,"Coachella","38,604","302",2,"2","73","225","1,560","380","750","430","8"
"83",83,"Coalinga","17,801","93",0,"4","10","79","498","119","342","37",""
"84",84,"Colma","1,436","14",0,"1","5","8","373","5","343","25","1"
"85",85,"Colton","51,924","245",9,"9","116","111","1,929","498","983","448","5"
"86",86,"Colusa","5,901","14",0,"0","5","9","164","63","90","11","0"
"87",87,"Commerce","13,672","149",0,"5","67","77","1,137","181","588","368","9"
"88",88,"Compton","95,990","1,623",37,"42","466","1,078","2,805","636","1,034","1,135","82"
"89",89,"Concord","122,202","492",3,"13","270","206","4,998","816","2,970","1,212","23"
"90",90,"Corcoran","23,715","45",0,"4","5","36","216","65","119","32","4"
"91",91,"Corning","7,348","45",0,"4","3","38","265","71","170","24","6"
"92",92,"Corona","153,518","340",5,"28","187","120","4,022","670","2,659","693","21"
"93",93,"Coronado","26,888","26",1,"6","10","9","535","63","378","94","4"
"94",94,"Costa Mesa","109,835","258",0,"39","77","142","3,336","509","2,426","401","9"
"95",95,"Cotati","7,272","34",0,"0","5","29","154","45","90","19","2"
"96",96,"Covina","47,961","216",6,"12","98","100","1,845","408","1,241","196","18"
"97",97,"Crescent City","7,909","29",2,"5","4","18","233","67","144","22","1"
"98",98,"Cudahy","24,953","143",4,"9","61","69","558","79","280","199","1"
"99",99,"Culver City","39,474","181",2,"6","135","38","1,459","214","1,102","143","1"
"100",100,"Cupertino","53,002","53",0,"7","12","34","837","178","618","41","22"
"101",101,"Cypress","47,741","96",1,"5","38","52","919","206","569","144","8"
"102",102,"Daly City","100,632","293",0,"15","186","92","2,111","291","1,410","410","44"
"103",103,"Dana Point","36,051","47",0,"3","14","30","552","88","425","39","5"
