"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"392",392,"Solvang","5,962","10",0,"0","2","8","68","18","46","4","0"
"393",393,"Sonoma","11,323","38",0,"6","1","31","122","21","95","6","1"
"394",394,"Sonora","4,867","26",0,"6","6","14","269","69","180","20","4"
"395",395,"South El Monte","20,852","102",1,"11","32","58","500","132","254","114","3"
"396",396,"South Gate","94,445","622",4,"21","179","418","2,754","351","1,663","740","26"
"397",397,"South Lake Tahoe","22,116","111",2,"10","20","79","449","79","335","35","0"
"398",398,"South Pasadena","25,612","29",0,"2","11","16","566","94","434","38","0"
"399",399,"South San Francisco","68,251","166",2,"19","64","81","1,484","230","1,074","180","7"
"400",400,"Stallion Springs","2,648","7",1,"1","0","5","19","5","13","1","0"
"401",401,"Stanton","38,276","95",3,"10","31","51","526","83","344","99","7"
"402",402,"St. Helena","6,195","12",0,"1","1","10","67","21","43","3","0"
"403",403,"Stockton","313,604","4,380",34,"181","1,158","3,007","12,367","2,209","8,480","1,678","128"
"404",404,"Suisun City","29,922","114",0,"11","35","68","664","69","479","116","11"
"405",405,"Sunnyvale","154,859","259",0,"37","84","138","3,380","458","2,598","324","32"
"406",406,"Susanville","14,878","196",0,"7","10","179","207","45","157","5","0"
"407",407,"Sutter Creek","2,624","3",0,"1","0","2","44","8","30","6","2"
"408",408,"Taft","9,413","67",0,"6","4","57","244","70","149","25","0"
"409",409,"Tehachapi","12,211","60",2,"8","7","43","327","70","231","26","0"
"410",410,"Temecula","116,630","166",1,"8","72","85","2,626","318","2,018","290","5"
"411",411,"Temple City","36,192","64",1,"7","23","33","331","122","175","34","1"
"412",412,"Thousand Oaks","127,811","88",0,"27","23","38","1,392","244","1,084","64","2"
"413",413,"Tiburon","9,135","0",0,"0","0","0","82","13","67","2","0"
"414",414,"Torrance","145,183","280",3,"26","114","137","2,853","399","2,161","293","12"
"415",415,"Tracy","92,895","166",5,"35","62","64","1,843","156","1,411","276","14"
"416",416,"Truckee","16,611","31",0,"3","4","24","114","36","66","12","1"
"417",417,"Tulare","65,134","261",4,"27","69","161","1,469","225","951","293","11"
"418",418,"Tulelake","985","3",0,"1","0","2","4","1","3","0","0"
"419",419,"Turlock","74,120","426",1,"29","138","258","2,323","402","1,483","438","34"
"420",420,"Tustin","80,356","141",1,"16","61","63","2,118","241","1,694","183","6"
"421",421,"Twentynine Palms","26,588","117",0,"10","15","92","265","96","134","35","4"
"422",422,"Ukiah","16,197","110",1,"9","24","76","298","117","147","34","23"
"423",423,"Union City","75,202","277",2,"8","79","188","1,718","192","1,300","226","9"
"424",424,"Upland","77,398","298",3,"20","107","168","1,821","368","1,206","247","11"
"425",425,"Vacaville","101,147","331",3,"47","80","201","2,442","162","2,120","160","8"
"426",426,"Vallejo","122,657","1,037",12,"138","336","551","4,941","2,888","1,148","905","52"
"427",427,"Ventura","111,596","458",3,"56","106","293","2,969","353","2,362","254","7"
"428",428,"Vernon","112","27",0,"1","12","14","485","133","272","80","5"
"429",429,"Victorville","123,089","988",5,"45","255","683","2,271","590","1,061","620","21"
"430",430,"Villa Park","5,840","4",0,"0","0","4","44","9","35","0","0"
"431",431,"Visalia","134,961","586",4,"111","159","312","3,900","747","2,627","526","20"
"432",432,"Vista","102,227","354",2,"38","93","221","1,438","251","945","242","6"
"433",433,"Walnut","30,108","38",0,"4","14","20","386","152","207","27","0"
"434",434,"Walnut Creek","70,546","120",0,"6","40","74","2,496","307","2,034","155","4"
"435",435,"Waterford","9,021","13",0,"1","5","7","143","17","76","50","0"
"436",436,"Watsonville","54,261","328",1,"37","53","237","971","148","589","234","8"
