"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson"
"30",30,"Beaumont","36,800","85",0,9,"15","61","897","190","630","77","1"
"31",31,"Bell","36,651","186",1,8,"89","88","546","115","280","151","0"
"32",32,"Bellflower","73,038","558",3,16,"243","296","1,843","406","825","612","13"
"33",33,"Bell Gardens","44,756","204",4,6,"112","82","829","184","320","325","2"
"34",34,"Belmont","24,742","20",1,2,"5","12","439","56","338","45","5"
"35",35,"Belvedere","2,052","0",0,0,"0","0","27","7","19","1","0"
"36",36,"Benicia","26,089","48",0,5,"20","23","417","140","230","47","8"
"37",37,"Berkeley","101,190","615",6,27,"444","138","6,467","1,079","4,661","727","21"
"38",38,"Beverly Hills","34,506","81",0,4,"45","32","1,230","295","895","40","4"
"39",39,"Big Bear Lake","6,210","41",0,4,"2","35","373","150","208","15","3"
"40",40,"Biggs","1,823","19",0,0,"0","19","39","16","18","5","0"
"41",41,"Bishop","3,393","20",0,3,"1","16","109","19","86","4","0"
"42",42,"Blythe","21,841","69",1,1,"18","49","630","237","366","27","29"
"43",43,"Bradbury","1,088","0",0,0,"0","0","10","4","6","0","0"
"44",44,"Brawley","22,810","66",0,5,"21","40","999","388","508","103","8"
"45",45,"Brea","38,637","68",1,2,"40","25","1,394","161","1,153","80","4"
"46",46,"Brentwood","53,494","119",1,5,"46","67","928","193","640","95","15"
"47",47,"Brisbane","3,686","16",0,1,"2","13","121","22","85","14","0"
"48",48,"Broadmoor","4,393","16",0,0,"7","9","78","23","41","14","1"
"49",49,"Buellton","4,346","15",0,3,"2","10","64","8","51","5","0"
"50",50,"Buena Park","79,525","247",2,12,"127","106","1,982","441","1,145","396","20"
"51",51,"Burbank","103,248","253",1,22,"93","137","2,663","499","1,829","335","18"
"52",52,"Burlingame","27,656","65",0,5,"21","39","757","126","555","76","9"
"53",53,"Calabasas","22,359","20",0,1,"6","13","291","83","193","15","3"
"54",54,"Calexico","39,820","63",0,2,"23","38","1,380","385","580","415","7"
"55",55,"California City","15,492","60",1,4,"13","42","471","166","276","29","0"
