"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition1.","Rape.legacydefinition2.","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"245","Marysville","12,241","96",1,"8",NA,"23","64","504","108","295","101","8"
"246","Maywood","27,985","122",0,"9",NA,"39","74","441","79","195","167","4"
"247","McFarland","14,263","33",1,"2",NA,"4","26","207","76","78","53","21"
"248","Menifee","89,114","135",0,"8",NA,"47","80","2,119","384","1,400","335","0"
"249","Mendota","11,481","97",4,"7",NA,"12","74","150","33","85","32","1"
"250","Menlo Park","33,726","30",0,"10",NA,"7","13","623","101","493","29","5"
"251","Merced","83,106","489",1,"35",NA,"134","319","2,774","558","1,617","599","82"
"252","Mill Valley","14,491","9",0,"1",NA,"2","6","223","45","166","12","1"
"253","Milpitas","79,990","96",1,"9",NA,"52","34","1,791","202","1,320","269","4"
"254","Mission Viejo","97,950","75",0,"7",NA,"25","43","983","160","768","55","14"
"255","Modesto","212,880","2,104",13,"103",NA,"481","1,507","9,324","1,421","6,350","1,553","65"
"256","Monrovia","37,637","60",0,"8",NA,"19","33","832","132","624","76","1"
"257","Montague","1,390","4",0,"1",NA,"0","3","15","8","6","1","0"
"258","Montclair","39,085","210",0,"32",NA,"63","115","1,713","326","978","409","27"
"259","Montebello","64,206","214",0,"7",NA,"114","93","1,978","823","607","548","46"
"260","Monterey","28,506","100",1,"15",NA,"29","55","1,083","199","816","68","3"
"261","Monterey Park","61,710","131",1,"8",NA,"59","63","1,704","460","998","246","1"
"262","Monte Sereno","3,591","0",0,"0",NA,"0","0","28","14","13","1","0"
"263","Moorpark","36,423","37",0,"12",NA,"4","21","296","59","213","24","7"
"264","Moraga","17,505","10",0,"1",NA,"2","7","143","24","95","24","0"
"265","Moreno Valley","206,224","863",9,"17",NA,"341","496","6,118","969","4,042","1,107","7"
"266","Morgan Hill","44,015","82",0,"3",NA,"21","58","642","111","418","113","1"
"267","Morro Bay","10,719","17",2,"0",NA,"3","12","204","52","136","16","2"
"268","Mountain View","81,726","132",0,"9",NA,"29","94","1,776","280","1,377","119","5"
"269","Mount Shasta","3,277","10",0,"1",NA,"0","9","96","22","63","11","1"
"270","Murrieta","111,043","49",0,"8",NA,"17","24","1,603","280","1,115","208","9"
"271","Napa","81,115","296",1,"38",NA,"47","210","1,579","437","1,013","129","5"
"272","National City","61,550","267",3,"13",NA,"108","143","1,376","182","734","460","5"
"273","Needles","5,010","47",0,"3",NA,"6","38","161","67","77","17","1"
"274","Nevada City","3,167","9",0,"1",NA,"1","7","108","21","73","14","4"
"275","Newark","45,893","108",1,"15",NA,"45","47","1,186","237","710","239","1"
"276","Newman","11,037","32",0,"1",NA,"4","27","150","34","74","42","1"
"277","Newport Beach","87,482","110",1,"34",NA,"17","58","2,241","437","1,644","160","4"
"278","Norco","26,132","51",0,"3",NA,"16","32","772","164","482","126","1"
"279","Norwalk","107,453","419",7,"18",NA,"139","255","1,963","372","1,125","466","15"
"280","Novato","56,263","80",0,"9",NA,"15","56","1,038","186","716","136","8"
"281","Oakdale","22,572","54",0,"10",NA,"11","33","688","127","482","79","3"
"282","Oakland","424,998","6,059",85,"277",NA,"3,076","2,621","23,952","2,900","14,153","6,899","191"
"283","Oakley","40,695","55",0,"6",NA,"24","25","419","77","221","121","1"
"284","Oceanside","177,340","639",8,"56",NA,"172","403","4,364","607","3,276","481","14"
"285","Ojai","7,658","10",0,"3",NA,"1","6","63","14","44","5","0"
"286","Ontario","172,606","602",8,"32",NA,"227","335","4,718","885","2,764","1,069","25"
"287","Orange","141,841","228",1,"25",NA,"57","145","2,608","464","1,783","361","9"
"288","Orange Cove","9,706","39",1,"1",NA,"3","34","153","30","67","56","3"
"289","Orinda","19,585","10",0,"0",NA,"4","6","156","35","110","11","0"
"290","Orland","7,587","27",0,"5",NA,"5","17","145","30","96","19","1"
"291","Oroville","16,322","141",0,"15",NA,"43","83","1,330","282","866","182","10"
"292","Oxnard","209,048","948",12,"69",NA,"429","438","6,073","978","4,309","786","40"
"293","Pacifica","39,650","65",0,"15",NA,"11","39","492","89","363","40","3"
"294","Pacific Grove","15,795","9",0,"5",NA,"2","2","318","47","249","22","2"
"295","Palmdale","159,441","697",8,"45",NA,"222","422","2,728","646","1,660","422","34"
"296","Palm Desert","52,528","77",1,"2",NA,"26","48","2,144","380","1,586","178","2"
"297","Palm Springs","47,909","275",2,"28",NA,"67","178","2,754","746","1,669","339","7"
"298","Palo Alto","67,317","73",1,"9",NA,"28","35","1,436","215","1,159","62","8"
"299","Palos Verdes Estates","13,730","4",0,"0",NA,"1","3","111","28","76","7","1"
"300","Paradise","26,532","45",1,"7",NA,"8","29","502","250","178","74","3"
"301","Paramount","55,673","313",4,"18",NA,"150","141","1,744","226","1,125","393","17"
"302","Parlier","15,262","103",0,"11",NA,"13","79","256","75","100","81","7"
"303","Pasadena","143,288","477",2,"46",NA,"164","265","3,446","861","2,261","324","66"
"304","Paso Robles","31,939","67",0,"8",NA,"20","39","977","144","738","95","6"
"305","Patterson","21,716","60",1,"4",NA,"18","37","488","85","297","106","2"
"306","Perris","76,260","225",2,"4",NA,"91","128","2,158","344","1,264","550","1"
"307","Petaluma","60,933","200",1,"29",NA,"22","148","1,108","194","842","72","4"
"308","Pico Rivera","64,469","220",2,"12",NA,"72","134","1,621","328","836","457","6"
"309","Piedmont","11,515","32",0,"5",NA,"17","10","200","66","109","25","0"
"310","Pinole","19,451","61",0,"4",NA,"31","26","892","76","731","85","6"
"311","Pismo Beach","8,264","12",0,"4",NA,"6","2","513","80","410","23","0"
"312","Pittsburg","70,663","278",7,"42",NA,"116","113","1,975","339","961","675","26"
"313","Placentia","52,800","77",1,"2",NA,"23","51","790","203","505","82","3"
"314","Placerville","10,705","27",0,"6",NA,"9","12","370","76","262","32","3"
"315","Pleasant Hill","35,140","79",0,"3",NA,"43","33","1,510","146","1,179","185","4"
"316","Pleasanton","81,464","100",0,"12",NA,"44","44","1,604","208","1,260","136","2"
"317","Pomona","154,109","767",13,"68",NA,"295","391","4,676","853","2,640","1,183","33"
"318","Porterville","56,421","215",0,"16",NA,"52","147","1,315","280","771","264","0"
"319","Port Hueneme","22,570","65",1,"6",NA,"30","28","399","79","264","56","2"
"320","Poway","50,606","65",0,"8",NA,"14","43","455","93","329","33","2"
"321","Rancho Cordova","72,265","245",1,"17",NA,"74","153","1,435","305","998","132","2"
"322","Rancho Cucamonga","177,089","266",1,"43",NA,"86","136","3,991","974","2,563","454","11"
"323","Rancho Mirage","18,243","23",0,"0",NA,"3","20","701","174","462","65","0"
"324","Rancho Palos Verdes","42,947","27",0,"7",NA,"6","14","417","118","266","33","0"
"325","Rancho Santa Margarita","49,606","48",0,"2",NA,"10","36","267","45","206","16","2"
"326","Red Bluff","14,138","159",0,"20",NA,"35","104","1,097","260","719","118","8"
"327","Redding","91,918","720",5,"84",NA,"143","488","3,837","710","2,608","519","7"
"328","Redlands","71,485","225",0,"37",NA,"76","112","2,913","501","2,014","398","14"
"329","Redondo Beach","68,447","160",1,"8",NA,"58","93","1,742","428","1,154","160","1"
"330","Redwood City","87,046","164",0,"43",NA,"44","77","1,503","260","1,087","156","7"
"331","Reedley","25,828","190",0,"10",NA,"19","161","499","154","265","80","6"
"332","Rialto","103,893","451",4,"22",NA,"159","266","1,887","555","603","729","2"
"333","Richmond","110,868","1,019",21,"72",NA,"364","562","3,785","645","1,907","1,233","33"
"334","Ridgecrest","29,003","149",0,"24",NA,"21","104","565","176","317","72","8"
"335","Rio Dell","3,390","7",0,"0",NA,"1","6","40","9","22","9","0"
"336","Rio Vista","8,554","32",0,"1",NA,"2","29","99","24","58","17","0"
"337","Ripon","15,318","12",0,"2",NA,"9","1","267","22","225","20","0"
"338","Riverbank","24,401","55",1,"3",NA,"26","25","615","83","437","95","1"
"339","Riverside","325,896","1,724",10,"141",NA,"586","987","11,266","1,977","7,355","1,934","57"
"340","Rocklin","62,006","65",1,"19",NA,"14","31","1,202","210","895","97","5"
"341","Rohnert Park","42,723","204",0,"31",NA,"20","153","743","117","538","88","4"
"342","Rolling Hills","1,899","0",0,"0",NA,"0","0","11","3","8","0","1"
"343","Rolling Hills Estates","8,297","11",0,"0",NA,"8","3","126","33","88","5","0"
"344","Rosemead","55,129","167",1,"9",NA,"73","84","1,249","308","714","227","9"
"345","Roseville","132,566","199",0,"21",NA,"95","83","3,316","393","2,596","327","16"
"346","Ross","2,492","1",0,"1",NA,"0","0","25","11","13","1","0"
"347","Sacramento","495,471","3,549",41,"88",NA,"1,136","2,284","15,283","3,070","9,389","2,824","173"
"348","Salinas","158,729","1,005",35,"86",NA,"325","559","4,742","695","2,484","1,563","11"
"349","San Bernardino","217,303","2,878",62,"123",NA,"903","1,790","9,178","2,353","4,228","2,597","70"
"350","San Bruno","43,613","109",0,"16",NA,"47","46","1,106","141","857","108","1"
"351","San Clemente","65,915","75",0,"10",NA,"21","44","799","184","547","68","4"
"352","Sand City","391","7",0,"0",NA,"4","3","140","5","129","6","0"
"353","San Diego","1,413,414","5,332",50,"572",NA,"1,387","3,323","28,624","4,743","18,042","5,839","239"
"354","San Dimas","34,884","82",0,"15",NA,"24","43","764","188","491","85","2"
"355","San Fernando","25,194","132",1,"8",NA,"38","85","450","90","240","120","3"
"356","San Francisco","871,155","6,190",57,"342",NA,"3,175","2,616","47,402","4,978","36,991","5,433","255"
"357","San Gabriel","40,580","98",0,"6",NA,"38","54","655","224","374","57","3"
"358","Sanger","25,078","126",3,"9",NA,"17","97","564","161","315","88","1"
"359","San Jacinto","47,475","128",4,"1",NA,"67","56","1,673","348","1,044","281","5"
"360","San Jose","1,041,844","3,887",47,"451",NA,"1,214","2,175","24,749","4,260","12,786","7,703","137"
"361","San Juan Capistrano","36,798","87",1,"9",NA,"15","62","436","108","275","53","7"
"362","San Leandro","91,870","487",3,"31",NA,"280","173","3,530","499","2,070","961","23"
"363","San Luis Obispo","47,774","178",0,"39",NA,"21","118","2,076","251","1,730","95","26"
"364","San Marcos","94,840","197",0,"13",NA,"42","142","1,145","211","783","151","3"
"365","San Marino","13,528","15",0,"1",NA,"7","7","261","106","148","7","0"
"366","San Mateo","104,802","242",1,"18",NA,"44","179","2,141","732","1,194","215","4"
"367","San Pablo","30,674","213",2,"22",NA,"90","99","1,214","213","576","425","11"
"368","San Rafael","59,435","249",0,"28",NA,"111","110","1,713","255","1,186","272","12"
"369","San Ramon","76,901","39",0,"9",NA,"12","18","823","140","616","67","2"
