"","State","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"279","Norco","26,654","69",1,"5","17","46","688","124","472","92","0"
"280","Norwalk","106,278","437",5,"17","133","282","1,956","418","1,123","415","7"
"281","Novato","56,698","92",1,"5","26","60","927","145","689","93","2"
"282","Oakdale","22,886","31",0,"7","6","18","586","104","400","82","3"
"283","Oakland","424,915","5,521",69,"400","2,676","2,376","25,422","2,622","17,305","5,495","196"
"284","Oakley","41,509","52",1,"4","12","35","489","79","302","108","2"
"285","Oceanside","176,815","694",9,"69","165","451","4,088","592","3,000","496","22"
"286","Ojai","7,603","4",0,"2","0","2","45","11","33","1","0"
"287","Ontario3","174,724","683",8,"136","220","319","4,473","720","2,842","911","29"
"288","Orange","141,130","218",4,"12","64","138","2,584","489","1,754","341","19"
"289","Orange Cove","9,674","58",5,"0","6","47","95","20","52","23","0"
"290","Orinda","19,760","10",0,"1","6","3","153","53","94","6","1"
"291","Orland","7,624","24",1,"2","2","19","132","38","71","23","2"
"292","Oroville","19,091","124",0,"16","40","68","1,427","259","970","198","12"
"293","Oxnard","209,513","908",15,"65","430","398","5,328","787","3,848","693","43"
"294","Pacifica","39,353","86",1,"17","20","48","528","100","383","45","3"
"295","Pacific Grove","15,716","16",0,"8","0","8","324","55","249","20","0"
"296","Palmdale","158,094","681",4,"37","218","422","2,659","613","1,611","435","29"
"297","Palm Desert","52,845","91",0,"3","30","58","2,076","424","1,536","116","1"
"298","Palm Springs","48,193","290",5,"40","94","151","1,963","436","1,277","250","3"
"299","Palo Alto","67,441","90",0,"11","39","40","1,783","214","1,478","91","6"
"300","Palos Verdes Estates","13,611","3",0,"1","2","0","125","43","77","5","0"
"301","Paradise","26,610","88",0,"16","9","63","295","127","131","37","2"
"302","Paramount","55,041","324",6,"8","125","185","1,613","283","892","438","6"
"303","Parlier","15,289","106",1,"8","16","81","258","90","83","85","21"
"304","Pasadena","142,891","574",8,"51","202","313","2,946","745","1,842","359","42"
"305","Paso Robles","32,266","35",0,"3","6","26","920","126","731","63","4"
"306","Patterson","21,994","46",0,"3","9","34","513","50","327","136","2"
"307","Perris","77,626","192",2,"4","66","120","1,877","270","1,104","503","7"
"308","Petaluma","60,957","233",1,"32","40","160","946","170","712","64","9"
"309","Pico Rivera","63,746","236",1,"19","75","141","1,432","250","853","329","5"
